id,sex,length,Diametercontinuous,Height,Wholeweight,Shuckedweight,Visceraweight,Shellweight,classfication
1,M,0.635,0.515,0.17,1.275,0.509,0.286,0.34,16
2,M,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20
3,M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
4,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
5,M,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,17
6,F,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16
7,M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
8,F,0.59,0.465,0.15,0.997,0.392,0.246,0.34,12
9,F,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20
10,F,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,16
11,F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12
12,M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19
13,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11
14,F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10
15,M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12
16,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
17,F,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,16
18,F,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,16
19,F,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19
20,F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14
21,M,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13
22,F,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20
23,M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11
24,F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10
25,M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15
26,F,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,12
27,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
28,M,0.535,0.42,0.145,0.791,0.33,0.189,0.25,10
29,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
30,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
31,M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10
32,F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
33,M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12
34,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
35,M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14
36,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9
37,I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10
38,M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10
39,F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10
40,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9
41,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6
