id,Abalonedata,Sources,PastUsage,RelevantInformationParagraph,NumberofInstances,NumberofAttributes,Attributeinformation,MissingAttributeValues,classfication
1,F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12
2,F,0.71,0.55,0.17,1.614,0.743,0.345,0.45,11
3,F,0.72,0.575,0.17,1.9335,0.913,0.389,0.51,13
4,M,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12
5,F,0.725,0.6,0.2,1.737,0.697,0.3585,0.595,11
6,F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,11
7,F,0.735,0.565,0.205,2.1275,0.949,0.46,0.565,12
8,F,0.745,0.57,0.215,2.25,1.1565,0.446,0.558,9
9,F,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,14
10,F,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,14
11,I,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,3
12,I,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,4
13,I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7
14,I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,5
15,I,0.37,0.27,0.095,0.232,0.1325,0.041,0.0615,6
16,I,0.375,0.28,0.085,0.3155,0.187,0.046,0.067,7
17,I,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,5
18,I,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,5
19,I,0.4,0.29,0.11,0.329,0.188,0.0455,0.0825,6
20,I,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,7
21,I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,8
22,I,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,7
23,I,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,6
24,I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
25,M,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103,9
26,I,0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,6
27,I,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6
28,I,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,5
29,M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8
30,I,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,9
31,M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,6
32,I,0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,7
33,I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8
34,I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9
35,I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
36,I,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6
37,M,0.475,0.37,0.125,0.649,0.347,0.136,0.142,8
38,I,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,7
39,F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7
40,I,0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,7
41,I,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,6
42,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
43,M,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6
44,F,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7
45,M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9
46,F,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9
47,I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8
48,M,0.515,0.425,0.145,0.9365,0.497,0.181,0.2185,8
49,I,0.515,0.4,0.125,0.5625,0.25,0.1245,0.17,7
50,M,0.52,0.4,0.125,0.559,0.254,0.139,0.149,8
51,M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
52,I,0.53,0.43,0.13,0.7045,0.346,0.1415,0.189,9
53,M,0.53,0.4,0.125,0.7575,0.398,0.151,0.175,8
54,F,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9
55,F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
56,M,0.55,0.425,0.16,0.793,0.343,0.2035,0.215,9
57,F,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,8
58,F,0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,9
59,M,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8
60,M,0.575,0.465,0.15,1.08,0.595,0.2065,0.238,9
61,M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,8
62,F,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9
63,F,0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,9
64,M,0.585,0.455,0.15,0.906,0.4095,0.23,0.2335,8
65,M,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,8
66,F,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,9
67,F,0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,8
68,F,0.595,0.455,0.16,1.04,0.452,0.2655,0.288,9
69,M,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,8
70,M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,9
71,F,0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,11
72,F,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,9
73,F,0.605,0.515,0.17,1.289,0.6,0.2945,0.3315,9
74,F,0.61,0.485,0.17,1.1005,0.5125,0.229,0.305,11
75,I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8
76,M,0.62,0.485,0.155,1.049,0.462,0.231,0.25,10
77,F,0.62,0.435,0.155,1.012,0.477,0.236,0.275,8
78,M,0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,9
79,M,0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,10
80,M,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,11
81,M,0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9
82,F,0.63,0.5,0.175,1.1105,0.467,0.268,0.329,10
83,M,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,9
84,M,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,11
85,F,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10
86,F,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10
87,M,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8
88,F,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,9
89,F,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,10
90,M,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,11
91,F,0.645,0.505,0.165,1.318,0.55,0.3015,0.335,11
92,F,0.65,0.545,0.175,1.5245,0.59,0.326,0.495,10
93,M,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,10
94,F,0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,9
95,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8
96,F,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,11
97,M,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,11
98,M,0.66,0.505,0.165,1.374,0.589,0.351,0.345,10
99,F,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,10
100,M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11
101,M,0.67,0.51,0.175,1.5265,0.651,0.4475,0.345,10
102,M,0.67,0.5,0.19,1.519,0.616,0.388,0.415,10
103,F,0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685,12
104,M,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,11
105,M,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12
106,F,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,11
107,M,0.7,0.555,0.2,1.858,0.73,0.3665,0.595,11
108,M,0.705,0.56,0.165,1.675,0.797,0.4095,0.388,10
109,M,0.72,0.565,0.2,2.1055,1.017,0.363,0.494,12
110,M,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,13
111,M,0.74,0.57,0.18,1.8725,0.9115,0.427,0.446,10
112,M,0.75,0.55,0.18,1.893,0.942,0.397,0.445,11
113,I,0.21,0.17,0.045,0.0475,0.019,0.011,0.013,5
114,I,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,5
115,I,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,6
116,I,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415,6
117,I,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,6
118,I,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,5
119,I,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,5
120,I,0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,6
121,I,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.058,7
122,I,0.36,0.27,0.095,0.2,0.073,0.056,0.061,8
123,I,0.36,0.275,0.075,0.2205,0.0985,0.044,0.066,7
124,I,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,7
125,I,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066,7
126,I,0.37,0.27,0.095,0.2175,0.097,0.046,0.065,6
127,I,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7
128,I,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,7
129,I,0.38,0.29,0.1,0.237,0.108,0.0395,0.082,6
130,I,0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,8
131,I,0.385,0.28,0.095,0.257,0.119,0.059,0.07,7
132,I,0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,8
133,I,0.39,0.3,0.09,0.252,0.1065,0.053,0.08,7
134,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7
135,I,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7
136,I,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8
137,I,0.41,0.3,0.09,0.28,0.141,0.0575,0.075,8
138,I,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7
139,I,0.425,0.325,0.11,0.317,0.135,0.048,0.09,8
140,I,0.425,0.315,0.08,0.303,0.131,0.0585,0.095,7
141,I,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,7
142,I,0.435,0.325,0.11,0.367,0.1595,0.08,0.105,6
143,I,0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,8
144,I,0.45,0.335,0.11,0.4195,0.181,0.085,0.1345,7
145,I,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,10
146,I,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7
147,I,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,7
148,I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
149,I,0.465,0.345,0.11,0.393,0.1825,0.0735,0.12,8
150,I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8
151,I,0.475,0.36,0.145,0.6325,0.2825,0.137,0.19,8
152,M,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,7
153,I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8
154,I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
155,I,0.48,0.37,0.12,0.536,0.251,0.114,0.15,8
156,M,0.48,0.355,0.16,0.464,0.221,0.106,0.239,8
157,I,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16,7
158,I,0.49,0.375,0.115,0.4615,0.204,0.0945,0.143,8
159,I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,8
160,I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
161,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
162,I,0.5,0.4,0.12,0.616,0.261,0.143,0.1935,8
163,I,0.5,0.39,0.12,0.5955,0.2455,0.147,0.173,8
164,I,0.5,0.375,0.14,0.559,0.2375,0.135,0.169,9
165,I,0.51,0.395,0.13,0.6025,0.281,0.143,0.162,7
166,F,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,6
167,I,0.515,0.36,0.125,0.4725,0.1815,0.125,0.138,9
168,I,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,10
169,I,0.515,0.395,0.125,0.6635,0.32,0.14,0.17,8
170,I,0.515,0.39,0.125,0.5705,0.238,0.1265,0.185,8
171,I,0.52,0.41,0.145,0.646,0.2965,0.1595,0.165,9
172,I,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,7
173,M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8
174,I,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,9
175,I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,8
176,I,0.525,0.4,0.14,0.654,0.305,0.16,0.169,7
177,M,0.525,0.4,0.155,0.707,0.282,0.1605,0.225,9
178,I,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7
179,I,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10
180,I,0.53,0.4,0.145,0.555,0.1935,0.1305,0.195,9
181,I,0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,11
182,I,0.535,0.4,0.13,0.657,0.2835,0.162,0.175,7
183,I,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,9
184,I,0.54,0.425,0.14,0.742,0.32,0.1395,0.25,9
185,I,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
186,M,0.54,0.455,0.14,0.972,0.419,0.255,0.269,10
187,I,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9
188,I,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,10
189,I,0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,8
190,I,0.545,0.4,0.13,0.686,0.3285,0.1455,0.18,9
191,I,0.545,0.375,0.12,0.543,0.2375,0.1155,0.1725,8
192,I,0.545,0.42,0.125,0.717,0.358,0.112,0.22,8
193,M,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,10
194,I,0.55,0.425,0.15,0.639,0.269,0.1345,0.217,9
195,I,0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12
196,I,0.55,0.415,0.145,0.7815,0.373,0.16,0.2215,8
197,I,0.55,0.425,0.15,0.7665,0.339,0.176,0.21,8
198,I,0.555,0.395,0.13,0.5585,0.222,0.1245,0.17,9
199,I,0.555,0.435,0.14,0.765,0.3945,0.15,0.206,8
200,I,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,11
201,I,0.56,0.445,0.15,0.8225,0.3685,0.187,0.236,10
202,I,0.56,0.44,0.13,0.7235,0.349,0.149,0.2,8
203,M,0.56,0.425,0.135,0.849,0.3265,0.221,0.2645,10
204,I,0.565,0.42,0.155,0.743,0.31,0.186,0.231,9
205,F,0.565,0.44,0.15,0.863,0.435,0.149,0.27,9
206,M,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215,9
207,M,0.565,0.43,0.15,0.831,0.4245,0.1735,0.219,10
208,F,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,8
209,M,0.57,0.45,0.14,0.795,0.3385,0.148,0.245,9
210,I,0.57,0.435,0.17,0.848,0.4,0.166,0.25,9
211,I,0.57,0.43,0.145,0.833,0.354,0.144,0.2815,10
212,I,0.57,0.445,0.155,0.867,0.3705,0.1705,0.28,9
213,I,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12
214,M,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
215,I,0.575,0.425,0.135,0.7965,0.364,0.196,0.239,10
216,F,0.575,0.47,0.155,1.116,0.509,0.238,0.34,10
217,I,0.575,0.45,0.125,0.78,0.3275,0.188,0.235,9
218,M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,10
219,F,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
220,I,0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,9
221,I,0.575,0.45,0.135,0.807,0.3615,0.176,0.254,10
222,F,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8
223,M,0.575,0.445,0.16,0.839,0.4005,0.198,0.239,9
224,M,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13
225,F,0.58,0.435,0.15,0.834,0.428,0.1515,0.23,8
226,M,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,10
227,M,0.58,0.43,0.13,0.798,0.365,0.173,0.2285,10
228,I,0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9
229,F,0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,10
230,M,0.59,0.49,0.165,1.207,0.559,0.235,0.309,10
231,I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10
232,I,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
233,F,0.595,0.435,0.15,0.9,0.4175,0.17,0.265,8
234,M,0.595,0.45,0.14,0.838,0.3965,0.194,0.217,10
235,M,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,10
236,I,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235,8
237,F,0.6,0.46,0.155,0.9735,0.427,0.2045,0.3,8
238,F,0.6,0.475,0.15,1.13,0.575,0.196,0.305,9
239,M,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9
240,I,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8
241,F,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10
242,M,0.6,0.47,0.165,1.059,0.504,0.241,0.275,9
243,M,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,10
244,F,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,9
245,M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
246,I,0.605,0.47,0.145,0.8025,0.379,0.2265,0.22,9
247,F,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,8
248,F,0.605,0.47,0.155,0.974,0.393,0.224,0.3345,9
249,F,0.605,0.505,0.18,1.434,0.7285,0.264,0.431,11
250,M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10
251,F,0.61,0.465,0.16,1.0725,0.4835,0.2515,0.28,10
252,F,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085,12
253,M,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,9
254,F,0.61,0.475,0.16,1.1155,0.3835,0.223,0.379,10
255,I,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9
256,M,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31,9
257,F,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7
258,M,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,10
259,M,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,9
260,I,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,12
261,F,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,12
262,M,0.62,0.515,0.175,1.221,0.535,0.241,0.395,13
263,F,0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,11
264,I,0.62,0.49,0.16,1.066,0.446,0.246,0.305,11
265,F,0.62,0.48,0.18,1.2215,0.582,0.2695,0.313,12
266,I,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,9
267,I,0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,10
268,M,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309,12
269,F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,9
270,M,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,11
271,M,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
272,M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9
273,I,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145,12
274,F,0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,10
275,I,0.625,0.485,0.15,1.044,0.438,0.2865,0.278,9
276,M,0.63,0.505,0.17,1.0915,0.4615,0.266,0.3,9
277,F,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8
278,M,0.63,0.49,0.17,1.1745,0.5255,0.273,0.339,11
